Statistic,Year,Age_Group,Sex,Education_Level,Region,UNIT,Employment_Rate
Annual employment rate,2019,35 - 39 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,%,89.1
Annual employment rate,2019,35 - 39 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,%,91.8
Annual employment rate,2019,35 - 39 years,Male,Tertiary education (Levels 5-8),Northern and Western,%,91.9
Annual employment rate,2019,35 - 39 years,Male,Tertiary education (Levels 5-8),Southern,%,94.3
Annual employment rate,2019,35 - 39 years,Male,Tertiary education (Levels 5-8),Eastern and Midland,%,94.1
Annual employment rate,2019,35 - 39 years,Female,Less than primary (Level 0),Northern and Western,%,
Annual employment rate,2019,35 - 39 years,Female,Less than primary (Level 0),Southern,%,
Annual employment rate,2019,35 - 39 years,Female,Less than primary (Level 0),Eastern and Midland,%,
Annual employment rate,2019,35 - 39 years,Female,Primary and lower secondary education (Levels 1-2),Northern and Western,%,
Annual employment rate,2019,35 - 39 years,Female,Primary and lower secondary education (Levels 1-2),Southern,%,27.5
Annual employment rate,2019,35 - 39 years,Female,Primary and lower secondary education (Levels 1-2),Eastern and Midland,%,45.9
Annual employment rate,2019,35 - 39 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,%,64.7
Annual employment rate,2019,35 - 39 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,%,65.2
Annual employment rate,2019,35 - 39 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,%,65.8
Annual employment rate,2019,35 - 39 years,Female,Tertiary education (Levels 5-8),Northern and Western,%,79.3
Annual employment rate,2019,35 - 39 years,Female,Tertiary education (Levels 5-8),Southern,%,85.3
Annual employment rate,2019,35 - 39 years,Female,Tertiary education (Levels 5-8),Eastern and Midland,%,85.0
Annual employment rate,2019,40 - 44 years,Male,Less than primary (Level 0),Northern and Western,%,
Annual employment rate,2019,40 - 44 years,Male,Less than primary (Level 0),Southern,%,
Annual employment rate,2019,40 - 44 years,Male,Less than primary (Level 0),Eastern and Midland,%,
Annual employment rate,2019,40 - 44 years,Male,Primary and lower secondary education (Levels 1-2),Northern and Western,%,66.6
Annual employment rate,2019,40 - 44 years,Male,Primary and lower secondary education (Levels 1-2),Southern,%,65.1
Annual employment rate,2019,40 - 44 years,Male,Primary and lower secondary education (Levels 1-2),Eastern and Midland,%,68.7
Annual employment rate,2019,40 - 44 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,%,85.7
Annual employment rate,2019,40 - 44 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,%,89.2
Annual employment rate,2019,40 - 44 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,%,85.5
Annual employment rate,2019,40 - 44 years,Male,Tertiary education (Levels 5-8),Northern and Western,%,95.4
Annual employment rate,2019,40 - 44 years,Male,Tertiary education (Levels 5-8),Southern,%,93.4
Annual employment rate,2019,40 - 44 years,Male,Tertiary education (Levels 5-8),Eastern and Midland,%,93.7
Annual employment rate,2019,40 - 44 years,Female,Less than primary (Level 0),Northern and Western,%,
Annual employment rate,2019,40 - 44 years,Female,Less than primary (Level 0),Southern,%,
Annual employment rate,2019,40 - 44 years,Female,Less than primary (Level 0),Eastern and Midland,%,
Annual employment rate,2019,40 - 44 years,Female,Primary and lower secondary education (Levels 1-2),Northern and Western,%,
Annual employment rate,2019,40 - 44 years,Female,Primary and lower secondary education (Levels 1-2),Southern,%,31.5
Annual employment rate,2019,40 - 44 years,Female,Primary and lower secondary education (Levels 1-2),Eastern and Midland,%,47.4
Annual employment rate,2019,40 - 44 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,%,68.5
Annual employment rate,2019,40 - 44 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,%,64.4
Annual employment rate,2019,40 - 44 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,%,68.6
Annual employment rate,2019,40 - 44 years,Female,Tertiary education (Levels 5-8),Northern and Western,%,83.9
Annual employment rate,2019,40 - 44 years,Female,Tertiary education (Levels 5-8),Southern,%,83.5
Annual employment rate,2019,40 - 44 years,Female,Tertiary education (Levels 5-8),Eastern and Midland,%,83.7
Annual employment rate,2019,45 - 49 years,Male,Less than primary (Level 0),Northern and Western,%,
Annual employment rate,2019,45 - 49 years,Male,Less than primary (Level 0),Southern,%,
Annual employment rate,2019,45 - 49 years,Male,Less than primary (Level 0),Eastern and Midland,%,
Annual employment rate,2019,45 - 49 years,Male,Primary and lower secondary education (Levels 1-2),Northern and Western,%,72.7
Annual employment rate,2019,45 - 49 years,Male,Primary and lower secondary education (Levels 1-2),Southern,%,66.5
Annual employment rate,2019,45 - 49 years,Male,Primary and lower secondary education (Levels 1-2),Eastern and Midland,%,71.4
Annual employment rate,2019,45 - 49 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,%,83.8
Annual employment rate,2019,45 - 49 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,%,88.5
Annual employment rate,2019,45 - 49 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,%,88.5
Annual employment rate,2019,45 - 49 years,Male,Tertiary education (Levels 5-8),Northern and Western,%,94.4
Annual employment rate,2019,45 - 49 years,Male,Tertiary education (Levels 5-8),Southern,%,93.4
Annual employment rate,2019,45 - 49 years,Male,Tertiary education (Levels 5-8),Eastern and Midland,%,92.5
Annual employment rate,2019,45 - 49 years,Female,Less than primary (Level 0),Northern and Western,%,
Annual employment rate,2019,45 - 49 years,Female,Less than primary (Level 0),Southern,%,
Annual employment rate,2019,45 - 49 years,Female,Less than primary (Level 0),Eastern and Midland,%,
Annual employment rate,2019,45 - 49 years,Female,Primary and lower secondary education (Levels 1-2),Northern and Western,%,47.0
Annual employment rate,2019,45 - 49 years,Female,Primary and lower secondary education (Levels 1-2),Southern,%,45.2
Annual employment rate,2019,45 - 49 years,Female,Primary and lower secondary education (Levels 1-2),Eastern and Midland,%,42.9
Annual employment rate,2019,45 - 49 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,%,69.5
Annual employment rate,2019,45 - 49 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,%,70.6
Annual employment rate,2019,45 - 49 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,%,67.3
Annual employment rate,2019,45 - 49 years,Female,Tertiary education (Levels 5-8),Northern and Western,%,83.3
Annual employment rate,2019,45 - 49 years,Female,Tertiary education (Levels 5-8),Southern,%,83.4
Annual employment rate,2019,45 - 49 years,Female,Tertiary education (Levels 5-8),Eastern and Midland,%,82.9
Annual employment rate,2019,50 - 54 years,Male,Less than primary (Level 0),Northern and Western,%,
Annual employment rate,2019,50 - 54 years,Male,Less than primary (Level 0),Southern,%,
Annual employment rate,2019,50 - 54 years,Male,Less than primary (Level 0),Eastern and Midland,%,
Annual employment rate,2019,50 - 54 years,Male,Primary and lower secondary education (Levels 1-2),Northern and Western,%,73.0
Annual employment rate,2019,50 - 54 years,Male,Primary and lower secondary education (Levels 1-2),Southern,%,67.9
Annual employment rate,2019,50 - 54 years,Male,Primary and lower secondary education (Levels 1-2),Eastern and Midland,%,70.7
Annual employment rate,2019,50 - 54 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,%,90.3
Annual employment rate,2019,50 - 54 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,%,86.7
Annual employment rate,2019,50 - 54 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,%,84.9
Annual employment rate,2019,50 - 54 years,Male,Tertiary education (Levels 5-8),Northern and Western,%,94.6
Annual employment rate,2019,50 - 54 years,Male,Tertiary education (Levels 5-8),Southern,%,91.6
Annual employment rate,2019,50 - 54 years,Male,Tertiary education (Levels 5-8),Eastern and Midland,%,93.4
Annual employment rate,2019,50 - 54 years,Female,Less than primary (Level 0),Northern and Western,%,
Annual employment rate,2019,50 - 54 years,Female,Less than primary (Level 0),Southern,%,
Annual employment rate,2019,50 - 54 years,Female,Less than primary (Level 0),Eastern and Midland,%,
Annual employment rate,2019,50 - 54 years,Female,Primary and lower secondary education (Levels 1-2),Northern and Western,%,39.7
Annual employment rate,2019,50 - 54 years,Female,Primary and lower secondary education (Levels 1-2),Southern,%,32.0
Annual employment rate,2019,50 - 54 years,Female,Primary and lower secondary education (Levels 1-2),Eastern and Midland,%,47.0
Annual employment rate,2019,50 - 54 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,%,68.1
Annual employment rate,2019,50 - 54 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,%,62.7
Annual employment rate,2019,50 - 54 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,%,69.8
Annual employment rate,2019,50 - 54 years,Female,Tertiary education (Levels 5-8),Northern and Western,%,80.4
Annual employment rate,2019,50 - 54 years,Female,Tertiary education (Levels 5-8),Southern,%,80.9
Annual employment rate,2019,50 - 54 years,Female,Tertiary education (Levels 5-8),Eastern and Midland,%,82.9
Annual employment rate,2019,55 - 59 years,Male,Less than primary (Level 0),Northern and Western,%,
Annual employment rate,2019,55 - 59 years,Male,Less than primary (Level 0),Southern,%,
Annual employment rate,2019,55 - 59 years,Male,Less than primary (Level 0),Eastern and Midland,%,
Annual employment rate,2019,55 - 59 years,Male,Primary and lower secondary education (Levels 1-2),Northern and Western,%,68.9
Annual employment rate,2019,55 - 59 years,Male,Primary and lower secondary education (Levels 1-2),Southern,%,64.9
Annual employment rate,2019,55 - 59 years,Male,Primary and lower secondary education (Levels 1-2),Eastern and Midland,%,71.2
Annual employment rate,2019,55 - 59 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,%,83.6
Annual employment rate,2019,55 - 59 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,%,79.1
Annual employment rate,2019,55 - 59 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,%,78.4
Annual employment rate,2019,55 - 59 years,Male,Tertiary education (Levels 5-8),Northern and Western,%,81.9
Annual employment rate,2019,55 - 59 years,Male,Tertiary education (Levels 5-8),Southern,%,79.3
Annual employment rate,2019,55 - 59 years,Male,Tertiary education (Levels 5-8),Eastern and Midland,%,89.8
Annual employment rate,2019,55 - 59 years,Female,Less than primary (Level 0),Northern and Western,%,
Annual employment rate,2019,55 - 59 years,Female,Less than primary (Level 0),Southern,%,
Annual employment rate,2019,55 - 59 years,Female,Less than primary (Level 0),Eastern and Midland,%,
Annual employment rate,2019,55 - 59 years,Female,Primary and lower secondary education (Levels 1-2),Northern and Western,%,41.6
Annual employment rate,2019,55 - 59 years,Female,Primary and lower secondary education (Levels 1-2),Southern,%,40.4
Annual employment rate,2019,55 - 59 years,Female,Primary and lower secondary education (Levels 1-2),Eastern and Midland,%,40.7
Annual employment rate,2019,55 - 59 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,%,67.1
Annual employment rate,2019,55 - 59 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,%,58.7
Annual employment rate,2019,55 - 59 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,%,64.1
Annual employment rate,2019,55 - 59 years,Female,Tertiary education (Levels 5-8),Northern and Western,%,74.0
Annual employment rate,2019,55 - 59 years,Female,Tertiary education (Levels 5-8),Southern,%,73.4
Annual employment rate,2019,55 - 59 years,Female,Tertiary education (Levels 5-8),Eastern and Midland,%,74.6
Annual employment rate,2019,60 - 64 years,Male,Less than primary (Level 0),Northern and Western,%,
Annual employment rate,2019,60 - 64 years,Male,Less than primary (Level 0),Southern,%,
Annual employment rate,2019,60 - 64 years,Male,Less than primary (Level 0),Eastern and Midland,%,
Annual employment rate,2019,60 - 64 years,Male,Primary and lower secondary education (Levels 1-2),Northern and Western,%,63.3
Annual employment rate,2019,60 - 64 years,Male,Primary and lower secondary education (Levels 1-2),Southern,%,53.6
Annual employment rate,2019,60 - 64 years,Male,Primary and lower secondary education (Levels 1-2),Eastern and Midland,%,54.1
Annual employment rate,2019,60 - 64 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,%,69.0
Annual employment rate,2019,60 - 64 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,%,64.7
Annual employment rate,2019,60 - 64 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,%,62.2
Annual employment rate,2019,60 - 64 years,Male,Tertiary education (Levels 5-8),Northern and Western,%,54.7
Annual employment rate,2019,60 - 64 years,Male,Tertiary education (Levels 5-8),Southern,%,60.8
Annual employment rate,2019,60 - 64 years,Male,Tertiary education (Levels 5-8),Eastern and Midland,%,66.4
Annual employment rate,2019,60 - 64 years,Female,Less than primary (Level 0),Northern and Western,%,
Annual employment rate,2019,60 - 64 years,Female,Less than primary (Level 0),Southern,%,
Annual employment rate,2019,60 - 64 years,Female,Less than primary (Level 0),Eastern and Midland,%,
Annual employment rate,2019,60 - 64 years,Female,Primary and lower secondary education (Levels 1-2),Northern and Western,%,31.5
Annual employment rate,2019,60 - 64 years,Female,Primary and lower secondary education (Levels 1-2),Southern,%,28.6
Annual employment rate,2019,60 - 64 years,Female,Primary and lower secondary education (Levels 1-2),Eastern and Midland,%,34.7
Annual employment rate,2019,60 - 64 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,%,53.7
Annual employment rate,2019,60 - 64 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,%,46.2
Annual employment rate,2019,60 - 64 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,%,51.3
Annual employment rate,2019,60 - 64 years,Female,Tertiary education (Levels 5-8),Northern and Western,%,55.2
Annual employment rate,2019,60 - 64 years,Female,Tertiary education (Levels 5-8),Southern,%,49.2
Annual employment rate,2019,60 - 64 years,Female,Tertiary education (Levels 5-8),Eastern and Midland,%,59.3
Annual employment rate,2020,20 - 24 years,Male,Less than primary (Level 0),Northern and Western,%,
Annual employment rate,2020,20 - 24 years,Male,Less than primary (Level 0),Southern,%,
Annual employment rate,2020,20 - 24 years,Male,Less than primary (Level 0),Eastern and Midland,%,
Annual employment rate,2020,20 - 24 years,Male,Primary and lower secondary education (Levels 1-2),Northern and Western,%,
Annual employment rate,2020,20 - 24 years,Male,Primary and lower secondary education (Levels 1-2),Southern,%,
Annual employment rate,2020,20 - 24 years,Male,Primary and lower secondary education (Levels 1-2),Eastern and Midland,%,
Annual employment rate,2020,20 - 24 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,%,51.8
Annual employment rate,2020,20 - 24 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,%,51.1
Annual employment rate,2020,20 - 24 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,%,57.2
Annual employment rate,2020,20 - 24 years,Male,Tertiary education (Levels 5-8),Northern and Western,%,58.8
Annual employment rate,2020,20 - 24 years,Male,Tertiary education (Levels 5-8),Southern,%,69.5
Annual employment rate,2020,20 - 24 years,Male,Tertiary education (Levels 5-8),Eastern and Midland,%,72.7
Annual employment rate,2020,20 - 24 years,Female,Less than primary (Level 0),Northern and Western,%,
Annual employment rate,2020,20 - 24 years,Female,Less than primary (Level 0),Southern,%,
Annual employment rate,2020,20 - 24 years,Female,Less than primary (Level 0),Eastern and Midland,%,
Annual employment rate,2020,20 - 24 years,Female,Primary and lower secondary education (Levels 1-2),Northern and Western,%,
Annual employment rate,2020,20 - 24 years,Female,Primary and lower secondary education (Levels 1-2),Southern,%,
Annual employment rate,2020,20 - 24 years,Female,Primary and lower secondary education (Levels 1-2),Eastern and Midland,%,
Annual employment rate,2020,20 - 24 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,%,41.0
Annual employment rate,2020,20 - 24 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,%,54.8
Annual employment rate,2020,20 - 24 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,%,49.3
Annual employment rate,2020,20 - 24 years,Female,Tertiary education (Levels 5-8),Northern and Western,%,68.0
Annual employment rate,2020,20 - 24 years,Female,Tertiary education (Levels 5-8),Southern,%,72.8
Annual employment rate,2020,20 - 24 years,Female,Tertiary education (Levels 5-8),Eastern and Midland,%,74.9
Annual employment rate,2020,25 - 29 years,Male,Less than primary (Level 0),Northern and Western,%,
Annual employment rate,2020,25 - 29 years,Male,Less than primary (Level 0),Southern,%,
Annual employment rate,2020,25 - 29 years,Male,Less than primary (Level 0),Eastern and Midland,%,
Annual employment rate,2020,25 - 29 years,Male,Primary and lower secondary education (Levels 1-2),Northern and Western,%,
Annual employment rate,2020,25 - 29 years,Male,Primary and lower secondary education (Levels 1-2),Southern,%,
Annual employment rate,2020,25 - 29 years,Male,Primary and lower secondary education (Levels 1-2),Eastern and Midland,%,
Annual employment rate,2020,25 - 29 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,%,73.6
Annual employment rate,2020,25 - 29 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,%,72.1
Annual employment rate,2020,25 - 29 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,%,77.1
Annual employment rate,2020,25 - 29 years,Male,Tertiary education (Levels 5-8),Northern and Western,%,74.7
Annual employment rate,2020,25 - 29 years,Male,Tertiary education (Levels 5-8),Southern,%,86.7
Annual employment rate,2020,25 - 29 years,Male,Tertiary education (Levels 5-8),Eastern and Midland,%,85.6
Annual employment rate,2020,25 - 29 years,Female,Less than primary (Level 0),Northern and Western,%,
Annual employment rate,2020,25 - 29 years,Female,Less than primary (Level 0),Southern,%,
Annual employment rate,2020,25 - 29 years,Female,Less than primary (Level 0),Eastern and Midland,%,
Annual employment rate,2020,25 - 29 years,Female,Primary and lower secondary education (Levels 1-2),Northern and Western,%,
Annual employment rate,2020,25 - 29 years,Female,Primary and lower secondary education (Levels 1-2),Southern,%,
Annual employment rate,2020,25 - 29 years,Female,Primary and lower secondary education (Levels 1-2),Eastern and Midland,%,
Annual employment rate,2020,25 - 29 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,%,52.7
Annual employment rate,2020,25 - 29 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,%,61.1
Annual employment rate,2020,25 - 29 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,%,55.6
Annual employment rate,2020,25 - 29 years,Female,Tertiary education (Levels 5-8),Northern and Western,%,77.3
Annual employment rate,2020,25 - 29 years,Female,Tertiary education (Levels 5-8),Southern,%,78.7
Annual employment rate,2020,25 - 29 years,Female,Tertiary education (Levels 5-8),Eastern and Midland,%,82.8
Annual employment rate,2020,30 - 34 years,Male,Less than primary (Level 0),Northern and Western,%,
Annual employment rate,2020,30 - 34 years,Male,Less than primary (Level 0),Southern,%,
